estação,endereço,latitude,longitude,bicicletas disponÍveis,vagas livres
264,R. Francisco Glicério- Maraponga,-3.797448101160866, -38.5640907620181,9,3
235,R. Carlos Juaçaba - Maraponga,-3.794133883401658, -38.56245603676264,9,3
178,R. Antônio Bandeira - Itaperi,-3.783706590958145, -38.56425761080661,5,7
222,R. Primeiro de Janeiro - Parangaba,-3.7842496229004654, -38.56817702485233,3,9
177,R. Júlio Braga - Parangaba,-3.7785478117799807, -38.57184615848954,5,7
180,Av. Gen. Osório de Paiva - Parangaba,-3.7799352857323343, -38.573382686687935,4,10
182,R. Mirtes Rocha - Parangaba,-3.7798411255498143, -38.578086643408454,2,12
183,Av. Augusto dos Anjos - Parangaba,-3.7756236885674324, -38.5751618687963,0,14
204,R. Araçá - Bonsucesso,-3.7812868483118094, -38.5837330014069,1,11
194,R. Verbena - Bonsucesso,-3.7805476171154364, -38.58870220167333,8,4
269,Vila Peri - Fortaleza,-3.784887181038017, -38.58142903594033,0,14
184,Av. Gen. Osório de Paiva - Bonsucesso,-3.786994248959218, -38.584085676802296,4,8
185,Av. Gen. Osório de Paiva - Vila Peri,-3.7900949915730187, -38.587845037634345,8,13
186,R. Oscar França - Bom Jardim,-3.79091333762003, -38.60265590653207,5,9
188,R. Maria Júlia - Bom Jardim,-3.7941981846799155, -38.600590268764584,5,9
189,Av. Oscar Araripe - Granja Portugal,-3.790718552844277, -38.6005878200682,6,6
190,R. Samaria - Bom Jardim,-3.7894152933546783, -38.60531181205911,5,7
192,Rua 3 Corações - Granja Lisboa,-3.786010149241643, -38.60972731383867,3,9
193,R. Bragança - Granja Portugal,-3.7806478384215234, -38.59651724177918,5,7
196,Granja Portugal - Fortaleza,-3.7779101262017756, -38.60041814482471,6,8
197,Av. H - Conj. Ceará I,-3.7747647833482296, -38.6054866043492,4,8
198,Av. L - Conj. Ceará II,-3.772937623063161, -38.60735414175369,5,11
295,Polo de lazer - Conj. Ceará,-3.769801755399761, -38.6056726082011,6,6
167,Av. Dr. Silas Munguba - Itaperi,-3.788406030012758, -38.546742236010545,4,12
168,Av. Dr. Silas Munguba - Itaperi,-3.786055382307588, -38.5523389171557,5,11
169,R. Peru - Itaperi,-3.7844308443103682, -38.556015527715516,5,7
170,Av. Dr. Silas Munguba - Itaperi,-3.78086244908808, -38.55797171927702,2,10
171,Av. Carlos Amora - Parangaba,-3.7754415090326576, -38.56344146664931,2,12
172,R. Eduardo Perdigão - Parangaba,-3.7762744870988514, -38.564336066872734,5,16
173,Av. Gomes Brasil,-3.7740002607413734, -38.56736345543444,3,9
174,R. Gomes Brasil - Parangaba,-3.7708708130697337, -38.57035984649725,5,16
175,Av. Senador Fernandes Távora - Henrique Jorge,-3.7659349768979924, -38.574926066873545,0,12
214,R. Maceió - Henrique Jorge,-3.764039249865036, -38.59104673989714,6,6
187,Av. Senador Fernandes Távora - Jóquei Clube,-3.760985478528609, -38.584647969866644,7,5
181,R. Vitória - Pici,-3.752308742622509, -38.58175190968545,8,4
213,R. Cardeal Arcoverde - Bom Jardim,-3.7503734229661863, -38.59274634824169,5,7
212,Rua Professor Joaquim Nogueira - Antônio Bezerra,-3.744028678010019, -38.58988229531138,1,11
238,R. Sao Vicente de Paulo - Antônio Bezerra,-3.7383924166222564, -38.59452003999243,7,5
239,R. Cândido Maia - Antônio Bezerra,-3.73740705298468, -38.5902817366919,8,4
108,Praça Terminal Antonio Bezerra - Padre Andrade,-3.737745483008383, -38.583586549118756,5,23
107,Av. Verbena - Padre Andrade,-3.7338302644086085, -38.584527434074275,7,5
166,R. Gov. João Carlos - Serrinha,-3.776720842272749, -38.55148178595752,3,13
148,Av. Lauro Viêira Chaves - Vila União,-3.771564594519416, -38.5355287632759,3,11
147,R. Lineu Jucá - Vila União,-3.7686668345912366, -38.533943984917684,1,13
149,R. da Saudade - Montese,-3.7700352841199223, -38.54512843086317,6,10
150,R. Edmundo Linhares - Montese,-3.768204606987607, -38.54664076336876,6,6
164,R. Antônio Fiúza - Montese,-3.7682153302604626, -38.55147373864141,5,7
151,R. Alan Kardec - Montese,-3.7648009051040003, -38.54970469910914,4,12
52,Av. Professor Gomes de Matos - Jardim América,-3.762669101828793, -38.54672200673203,6,6
51,Rua Afrodísio = Bom Futuro,-3.759555269513796, -38.54492889896555,6,6
50,R. Padre João Piamarta - Jardim América,-3.7565431702817347, -38.5406622175819,3,9
163,Av. João Pessoa - Damas,-3.7663168993945124, -38.559688820985755,8,13
162,R. Irmã Bazet - Montese,-3.7605552633158967, -38.556478392186605,3,9
152,R. Des. Praxedes - Bom Futuro,-3.7606515781804397, -38.547487655649235,6,8
49,Rua Frei Orlando - Bom Futuro,-3.755333650143342, -38.54630451935921,5,7
176,Av. Américo Barreira - Parangaba,-3.7663993966793194, -38.5682390970102,6,6
161,Av. Américo Barreira - Jacarecanga,-3.7575300841682266, -38.56087214689619,5,7
153,Av. Humberto Monte - Rodolfo Teófilo,-3.755009311209839, -38.55606980994521,6,10
46,R. Coronel Nunes de Melo - Rodolfo Teófilo,-3.748897689126239, -38.553084164315564,6,8
47,R. Alexandre Baraúna - Jardim América,-3.748993162938731, -38.5508764419272,6,6
48,R. Maj. Weyne - Damas,-3.7477199233128324, -38.54561478871251,2,10
259,R. Prof. Manoel Lourenço - Jóquei Clube,-3.763826010412751, -38.573169796190356,5,7
160,R. Pernambuco - Pici,-3.758690263728649, -38.570778558366506,3,9
159,Ruas Paraná - R. Guanabara - R. Piauí - Panamericano,-3.755941065136794, -38.56796310215187,3,11
260,R. Prof. Rômulo Proença - Pici,-3.7514328018719136, -38.57457997094161,6,8
158,R Rio Grande do Sul - Demócrito Rocha,-3.761402639557873, -38.569411776124454,0,12
154,Av. Humberto Monte - Bela Vista,-3.7489636801183552, -38.56076332130999,8,4
155,R. Érico Mota - Amadeu Furtado,-3.745477627726459, -38.56075714783652,5,7
156,Av. Humberto Monte - Bela Vista,-3.745603982345141, -38.56324420133939,4,12
157,Av. Mister Hull - Pici,-3.742526411186114, -38.57415805832523,15,5
44,Rua Professor Lino Encarnação - Parquelândia,-3.7408609207791677, -38.560680438012305,1,11
43,Universidade Federal do Ceará - Pici,-3.746651390317108, -38.57374681607296,2,10
45,Rua Dom Lino - Amadeu Furtado,-3.73973538479552, -38.55651149340917,0,16
42,Av. Bezerra de Menezes - São Gerardo,-3.7354649146764207, -38.56748022059673,1,19
41,Érico Mota - Av. Bezerra de Menezes,-3.7354087433162837, -38.56349832426731,4,12 
110,Rua Dom Lino - Parquelândia,-3.735964007405926, -38.55718448747907,2,14
109,Av. Gov. Parsifal Barroso - Pres. Kennedy,-3.7337391352901834, -38.56913247601024,0,21
145,Av. Luciano Carneiro - Parreão,-3.7599996840265306, -38.53497840396502,1,11
58,R. Moreira Gomes - Vila União,-3.757577233487656, -38.53289559924928,8,0
57,Av. Deputado Oswaldo Studart - Fátima,-3.7574077230404663, -38.53059688985621,3,11
146,R. Bartolomeu de Gusmão - Fátima,-3.7576248531339624, -38.525366840282764,3,5
207,Av. Pontes Vieira - Dionísio Torres,-3.75292408740731, -38.51698110839187,8,6
293,Av. Aguanambi - José Bonifacio,-3.7523669133251945, -38.52306983013572,1,11
54,Rua Dom Sebastião Leme - Fátima,-3.7439776127765905, -38.51579362127239,4,8
